code_name,course,session,num_q,num_sr,num_po
Warrant,1A_L4,S4,0,0,0
Total,1A_L4,S4,0,0,0
Convention,1A_L5,S1,0,0,0
Evaluation,1A_L5,S1,0,0,0
Example generation,1A_L5,S1,1,1,1
Fact,1A_L5,S1,0,0,0
Next step,1A_L5,S1,0,0,0
Other,1A_L5,S1,0,0,0
Proof framework,1A_L5,S1,0,0,0
Warrant,1A_L5,S1,3,2,3
Total,1A_L5,S1,4,3,4
Convention,1A_L5,S2,0,0,0
Evaluation,1A_L5,S2,0,0,0
Example generation,1A_L5,S2,0,0,0
Fact,1A_L5,S2,1,1,1
Next step,1A_L5,S2,0,0,0
Other,1A_L5,S2,0,0,0
Proof framework,1A_L5,S2,0,0,0
Warrant,1A_L5,S2,0,0,0
Total,1A_L5,S2,1,1,1
Convention,1A_L5,S3,0,0,0
Evaluation,1A_L5,S3,0,0,0
Example generation,1A_L5,S3,0,0,0
Fact,1A_L5,S3,0,0,0
Next step,1A_L5,S3,0,0,0
Other,1A_L5,S3,0,0,0
Proof framework,1A_L5,S3,0,0,0
Warrant,1A_L5,S3,0,0,0
Total,1A_L5,S3,0,0,0
Convention,1A_L5,S4,0,0,0
Evaluation,1A_L5,S4,0,0,0
Example generation,1A_L5,S4,0,0,0
Fact,1A_L5,S4,0,0,0
Next step,1A_L5,S4,0,0,0
Other,1A_L5,S4,0,0,0
Proof framework,1A_L5,S4,0,0,0
Warrant,1A_L5,S4,0,0,0
Total,1A_L5,S4,0,0,0
Convention,1A_L6,S1,0,0,0
Evaluation,1A_L6,S1,0,0,0
Example generation,1A_L6,S1,0,0,0
Fact,1A_L6,S1,0,0,0
Next step,1A_L6,S1,0,0,0
Other,1A_L6,S1,0,0,0
Proof framework,1A_L6,S1,0,0,0
Warrant,1A_L6,S1,0,0,0
Total,1A_L6,S1,0,0,0
Convention,1A_L6,S2,0,0,0
Evaluation,1A_L6,S2,1,1,1
Example generation,1A_L6,S2,0,0,0
Fact,1A_L6,S2,1,0,0
Next step,1A_L6,S2,3,2,3
Other,1A_L6,S2,0,0,0
Proof framework,1A_L6,S2,0,0,0
Warrant,1A_L6,S2,0,0,0
Total,1A_L6,S2,5,3,4
Convention,1A_L6,S3,0,0,0
Evaluation,1A_L6,S3,0,0,0
Example generation,1A_L6,S3,0,0,0
Fact,1A_L6,S3,0,0,0
Next step,1A_L6,S3,0,0,0
Other,1A_L6,S3,0,0,0
Proof framework,1A_L6,S3,0,0,0
Warrant,1A_L6,S3,0,0,0
Total,1A_L6,S3,0,0,0
Convention,1A_L6,S4,0,0,0
Evaluation,1A_L6,S4,2,0,0
Example generation,1A_L6,S4,0,0,0
Fact,1A_L6,S4,1,0,0
Next step,1A_L6,S4,3,0,1
Other,1A_L6,S4,0,0,0
Proof framework,1A_L6,S4,0,0,0
Warrant,1A_L6,S4,0,0,0
Total,1A_L6,S4,6,0,1
Convention,1B_L7,S1,0,0,0
Evaluation,1B_L7,S1,0,0,0
Example generation,1B_L7,S1,0,0,0
Fact,1B_L7,S1,3,0,1
Next step,1B_L7,S1,0,0,0
Other,1B_L7,S1,0,0,0
Proof framework,1B_L7,S1,0,0,0
Warrant,1B_L7,S1,0,0,0
Total,1B_L7,S1,3,0,1
Convention,1B_L7,S2,0,0,0
Evaluation,1B_L7,S2,0,0,0
Example generation,1B_L7,S2,0,0,0
Fact,1B_L7,S2,0,0,0
Next step,1B_L7,S2,0,0,0
Other,1B_L7,S2,0,0,0
Proof framework,1B_L7,S2,0,0,0
Warrant,1B_L7,S2,0,0,0
Total,1B_L7,S2,0,0,0
Convention,1B_L7,S3,0,0,0
Evaluation,1B_L7,S3,0,0,0
Example generation,1B_L7,S3,0,0,0
Fact,1B_L7,S3,0,0,0
Next step,1B_L7,S3,0,0,0
Other,1B_L7,S3,0,0,0
Proof framework,1B_L7,S3,0,0,0
Warrant,1B_L7,S3,0,0,0
Total,1B_L7,S3,0,0,0
Convention,1B_L7,S4,0,0,0
Evaluation,1B_L7,S4,1,1,1
Example generation,1B_L7,S4,0,0,0
Fact,1B_L7,S4,0,0,0
Next step,1B_L7,S4,0,0,0
Other,1B_L7,S4,1,1,1
Proof framework,1B_L7,S4,0,0,0
Warrant,1B_L7,S4,0,0,0
Total,1B_L7,S4,2,2,2
Convention,1B_L8,S1,0,0,0
Evaluation,1B_L8,S1,0,0,0
Example generation,1B_L8,S1,0,0,0
Fact,1B_L8,S1,1,1,1
Next step,1B_L8,S1,2,0,2
Other,1B_L8,S1,0,0,0
Proof framework,1B_L8,S1,0,0,0
Warrant,1B_L8,S1,1,1,1
Total,1B_L8,S1,4,2,4
Convention,1B_L8,S2,0,0,0
Evaluation,1B_L8,S2,0,0,0
Example generation,1B_L8,S2,0,0,0
Fact,1B_L8,S2,0,0,0
Next step,1B_L8,S2,0,0,0
Other,1B_L8,S2,0,0,0
Proof framework,1B_L8,S2,0,0,0
Warrant,1B_L8,S2,0,0,0
Total,1B_L8,S2,0,0,0
Convention,1B_L8,S3,0,0,0
Evaluation,1B_L8,S3,0,0,0
Example generation,1B_L8,S3,0,0,0
Fact,1B_L8,S3,0,0,0
Next step,1B_L8,S3,0,0,0
Other,1B_L8,S3,0,0,0
Proof framework,1B_L8,S3,0,0,0
Warrant,1B_L8,S3,0,0,0
Total,1B_L8,S3,0,0,0
Convention,1B_L8,S4,0,0,0
Evaluation,1B_L8,S4,0,0,0
Example generation,1B_L8,S4,0,0,0
Fact,1B_L8,S4,0,0,0
Next step,1B_L8,S4,0,0,0
Other,1B_L8,S4,0,0,0
Proof framework,1B_L8,S4,0,0,0
Warrant,1B_L8,S4,0,0,0
Total,1B_L8,S4,0,0,0
Convention,1C_L15,S1,3,1,1
Evaluation,1C_L15,S1,1,1,1
Example generation,1C_L15,S1,0,0,0
Fact,1C_L15,S1,3,2,2
